Spoken form, Cursorless identifier
blue, blue
bolt, bolt
curve, curve
ex, ex
green, green
pink, pink
red, red
yellow, yellow


# 2022-03-03 18:02:21 - New entries automatically added by cursorless
navy, userColor1

# 2022-03-03 18:02:58 - New entries automatically added by cursorless
apricot, userColor2

# 2022-03-03 18:09:02 - New entries automatically added by cursorless
play, play

# 2022-03-03 18:09:08 - New entries automatically added by cursorless
eye, eye

# 2022-03-03 18:09:12 - New entries automatically added by cursorless
frame, frame

# 2022-03-03 18:09:19 - New entries automatically added by cursorless
wing, wing

# 2022-03-03 18:09:21 - New entries automatically added by cursorless
hole, hole

# 2022-03-03 18:09:24 - New entries automatically added by cursorless
fox, fox

# 2022-03-03 18:09:29 - New entries automatically added by cursorless
cross, crosshairs
