Spoken form, Cursorless identifier
arg, argumentOrParameter
attribute, attribute
block, paragraph
call, functionCall
cell, notebookCell
char, character
class, class
class name, className
comment, comment
condition, condition
element, xmlElement
end tag, xmlEndTag
file, document
funk, namedFunction
funk name, functionName
if state, ifStatement
item, collectionItem
key, collectionKey
lambda, anonymousFunction
line, line
link, url
list, list
map, map
name, name
paint, nonWhitespaceSequence
regex, regularExpression
start tag, xmlStartTag
state, statement
string, string
tags, xmlBothTags
token, token
type, type
value, value
word, word


# 2022-04-28 08:51:14 - New entries automatically added by cursorless
-five section, sectionLevelFive
-four section, sectionLevelFour
-one section, sectionLevelOne
-six section, sectionLevelSix
-three section, sectionLevelThree
-two section, sectionLevelTwo
section, section
selector, selector

# 2022-07-16 15:36:15 - New entries automatically added by cursorless
callee, functionCallee
short paint, boundedNonWhitespaceSequence

# 2022-11-18 18:44:44 - New entries automatically added by cursorless
chapter, chapter
environment, environment
identifier, identifier
paragraph, namedParagraph
part, part
subparagraph, subParagraph
subsection, subSection
subsubsection, subSubSection
unit, unit
